Code du département	Libellé du département	Code de la commune	Libellé de la commune	Code B.Vote	Inscrits	Abstentions	% Abs/Ins	Votants	% Vot/Ins	Blancs	% Blancs/Ins	% Blancs/Vot	Nuls	% Nuls/Ins	% Nuls/Vot	Exprimés	% Exp/Ins	% Exp/Vot	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp	N.Pan.	Code Nuance	Sexe	Nom	Prénom	Liste	Voix	% Voix/Ins	% Voix/Exp
ZD	La Réunion	410	Saint-Benoît	29	822	405	49,27	417	50,73	6	0,73	1,44	12	1,46	2,88	399	48,54	95,68	1	LDVD	M	ALLAMELE	Michel	SAINT-BENOIT AVEC MICHEL ALLAMELE	1	0,12	0,25	2	LDVG	M	SELLY	Patrice	ENSEMBLE POUR UNE VILLE NOUVELLE	103	12,53	25,81	3	LDVD	M	DERAND	Guy	AGIR POUR SAINT-BENOIT	2	0,24	0,5	4	LDVG	M	JULIE	Jean-Luc	TOUS GAGNANTS	26	3,16	6,52	5	LEXG	M	PAYET	Jean Yves	LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS	9	1,09	2,26	6	LUG	M	LE CONSTANT	Philippe	LA FORCE DE L'EXPERIENCE POUR CONSTRUIRE L'AVENIR DE SAINT-BENOIT	59	7,18	14,79	7	LDVD	M	DALLEAU	Patrick	SAINT BENOIT DAN'COEUR	56	6,81	14,04	8	LDIV	M	AMOUNY	Daniel	Mouvement Citoyen Participatif Bénédictin	8	0,97	2,01	9	LDIV	M	PICARD	Florent, Paul	SAINT BENOIT AVANT TOUT	6	0,73	1,5	10	LDVC	F	PAYET-GANGNANT	Valérie	LE VRAI CHOIX GAGNANT POUR SAINT-BENOIT	67	8,15	16,79	11	LDVD	F	RAMIN	Sabrina	ENSEMBLE RECONSTRUISONS NOTRE VILLE AVEC PASSION	62	7,54	15,54																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ZD	La Réunion	410	Saint-Benoît	30	863	428	49,59	435	50,41	6	0,7	1,38	6	0,7	1,38	423	49,02	97,24	1	LDVD	M	ALLAMELE	Michel	SAINT-BENOIT AVEC MICHEL ALLAMELE	3	0,35	0,71	2	LDVG	M	SELLY	Patrice	ENSEMBLE POUR UNE VILLE NOUVELLE	102	11,82	24,11	3	LDVD	M	DERAND	Guy	AGIR POUR SAINT-BENOIT	4	0,46	0,95	4	LDVG	M	JULIE	Jean-Luc	TOUS GAGNANTS	30	3,48	7,09	5	LEXG	M	PAYET	Jean Yves	LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS	6	0,7	1,42	6	LUG	M	LE CONSTANT	Philippe	LA FORCE DE L'EXPERIENCE POUR CONSTRUIRE L'AVENIR DE SAINT-BENOIT	51	5,91	12,06	7	LDVD	M	DALLEAU	Patrick	SAINT BENOIT DAN'COEUR	60	6,95	14,18	8	LDIV	M	AMOUNY	Daniel	Mouvement Citoyen Participatif Bénédictin	4	0,46	0,95	9	LDIV	M	PICARD	Florent, Paul	SAINT BENOIT AVANT TOUT	6	0,7	1,42	10	LDVC	F	PAYET-GANGNANT	Valérie	LE VRAI CHOIX GAGNANT POUR SAINT-BENOIT	75	8,69	17,73	11	LDVD	F	RAMIN	Sabrina	ENSEMBLE RECONSTRUISONS NOTRE VILLE AVEC PASSION	82	9,5	19,39																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ZD	La Réunion	410	Saint-Benoît	31	549	314	57,19	235	42,81	5	0,91	2,13	4	0,73	1,7	226	41,17	96,17	1	LDVD	M	ALLAMELE	Michel	SAINT-BENOIT AVEC MICHEL ALLAMELE	4	0,73	1,77	2	LDVG	M	SELLY	Patrice	ENSEMBLE POUR UNE VILLE NOUVELLE	49	8,93	21,68	3	LDVD	M	DERAND	Guy	AGIR POUR SAINT-BENOIT	2	0,36	0,88	4	LDVG	M	JULIE	Jean-Luc	TOUS GAGNANTS	20	3,64	8,85	5	LEXG	M	PAYET	Jean Yves	LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS	4	0,73	1,77	6	LUG	M	LE CONSTANT	Philippe	LA FORCE DE L'EXPERIENCE POUR CONSTRUIRE L'AVENIR DE SAINT-BENOIT	52	9,47	23,01	7	LDVD	M	DALLEAU	Patrick	SAINT BENOIT DAN'COEUR	27	4,92	11,95	8	LDIV	M	AMOUNY	Daniel	Mouvement Citoyen Participatif Bénédictin	4	0,73	1,77	9	LDIV	M	PICARD	Florent, Paul	SAINT BENOIT AVANT TOUT	5	0,91	2,21	10	LDVC	F	PAYET-GANGNANT	Valérie	LE VRAI CHOIX GAGNANT POUR SAINT-BENOIT	18	3,28	7,96	11	LDVD	F	RAMIN	Sabrina	ENSEMBLE RECONSTRUISONS NOTRE VILLE AVEC PASSION	41	7,47	18,14																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ZD	La Réunion	410	Saint-Benoît	32	568	283	49,82	285	50,18	6	1,06	2,11	6	1,06	2,11	273	48,06	95,79	1	LDVD	M	ALLAMELE	Michel	SAINT-BENOIT AVEC MICHEL ALLAMELE	2	0,35	0,73	2	LDVG	M	SELLY	Patrice	ENSEMBLE POUR UNE VILLE NOUVELLE	52	9,15	19,05	3	LDVD	M	DERAND	Guy	AGIR POUR SAINT-BENOIT	3	0,53	1,1	4	LDVG	M	JULIE	Jean-Luc	TOUS GAGNANTS	31	5,46	11,36	5	LEXG	M	PAYET	Jean Yves	LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS	7	1,23	2,56	6	LUG	M	LE CONSTANT	Philippe	LA FORCE DE L'EXPERIENCE POUR CONSTRUIRE L'AVENIR DE SAINT-BENOIT	45	7,92	16,48	7	LDVD	M	DALLEAU	Patrick	SAINT BENOIT DAN'COEUR	33	5,81	12,09	8	LDIV	M	AMOUNY	Daniel	Mouvement Citoyen Participatif Bénédictin	0	0	0	9	LDIV	M	PICARD	Florent, Paul	SAINT BENOIT AVANT TOUT	3	0,53	1,1	10	LDVC	F	PAYET-GANGNANT	Valérie	LE VRAI CHOIX GAGNANT POUR SAINT-BENOIT	58	10,21	21,25	11	LDVD	F	RAMIN	Sabrina	ENSEMBLE RECONSTRUISONS NOTRE VILLE AVEC PASSION	39	6,87	14,29																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ZD	La Réunion	410	Saint-Benoît	33	791	392	49,56	399	50,44	9	1,14	2,26	23	2,91	5,76	367	46,4	91,98	1	LDVD	M	ALLAMELE	Michel	SAINT-BENOIT AVEC MICHEL ALLAMELE	2	0,25	0,54	2	LDVG	M	SELLY	Patrice	ENSEMBLE POUR UNE VILLE NOUVELLE	59	7,46	16,08	3	LDVD	M	DERAND	Guy	AGIR POUR SAINT-BENOIT	9	1,14	2,45	4	LDVG	M	JULIE	Jean-Luc	TOUS GAGNANTS	28	3,54	7,63	5	LEXG	M	PAYET	Jean Yves	LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS	4	0,51	1,09	6	LUG	M	LE CONSTANT	Philippe	LA FORCE DE L'EXPERIENCE POUR CONSTRUIRE L'AVENIR DE SAINT-BENOIT	49	6,19	13,35	7	LDVD	M	DALLEAU	Patrick	SAINT BENOIT DAN'COEUR	42	5,31	11,44	8	LDIV	M	AMOUNY	Daniel	Mouvement Citoyen Participatif Bénédictin	3	0,38	0,82	9	LDIV	M	PICARD	Florent, Paul	SAINT BENOIT AVANT TOUT	6	0,76	1,63	10	LDVC	F	PAYET-GANGNANT	Valérie	LE VRAI CHOIX GAGNANT POUR SAINT-BENOIT	38	4,8	10,35	11	LDVD	F	RAMIN	Sabrina	ENSEMBLE RECONSTRUISONS NOTRE VILLE AVEC PASSION	127	16,06	34,6																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ZD	La Réunion	410	Saint-Benoît	34	845	490	57,99	355	42,01	3	0,36	0,85	10	1,18	2,82	342	40,47	96,34	1	LDVD	M	ALLAMELE	Michel	SAINT-BENOIT AVEC MICHEL ALLAMELE	3	0,36	0,88	2	LDVG	M	SELLY	Patrice	ENSEMBLE POUR UNE VILLE NOUVELLE	68	8,05	19,88	3	LDVD	M	DERAND	Guy	AGIR POUR SAINT-BENOIT	10	1,18	2,92	4	LDVG	M	JULIE	Jean-Luc	TOUS GAGNANTS	25	2,96	7,31	5	LEXG	M	PAYET	Jean Yves	LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS	11	1,3	3,22	6	LUG	M	LE CONSTANT	Philippe	LA FORCE DE L'EXPERIENCE POUR CONSTRUIRE L'AVENIR DE SAINT-BENOIT	61	7,22	17,84	7	LDVD	M	DALLEAU	Patrick	SAINT BENOIT DAN'COEUR	51	6,04	14,91	8	LDIV	M	AMOUNY	Daniel	Mouvement Citoyen Participatif Bénédictin	9	1,07	2,63	9	LDIV	M	PICARD	Florent, Paul	SAINT BENOIT AVANT TOUT	3	0,36	0,88	10	LDVC	F	PAYET-GANGNANT	Valérie	LE VRAI CHOIX GAGNANT POUR SAINT-BENOIT	30	3,55	8,77	11	LDVD	F	RAMIN	Sabrina	ENSEMBLE RECONSTRUISONS NOTRE VILLE AVEC PASSION	71	8,4	20,76																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ZD	La Réunion	410	Saint-Benoît	35	878	493	56,15	385	43,85	6	0,68	1,56	8	0,91	2,08	371	42,26	96,36	1	LDVD	M	ALLAMELE	Michel	SAINT-BENOIT AVEC MICHEL ALLAMELE	1	0,11	0,27	2	LDVG	M	SELLY	Patrice	ENSEMBLE POUR UNE VILLE NOUVELLE	64	7,29	17,25	3	LDVD	M	DERAND	Guy	AGIR POUR SAINT-BENOIT	4	0,46	1,08	4	LDVG	M	JULIE	Jean-Luc	TOUS GAGNANTS	31	3,53	8,36	5	LEXG	M	PAYET	Jean Yves	LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS	5	0,57	1,35	6	LUG	M	LE CONSTANT	Philippe	LA FORCE DE L'EXPERIENCE POUR CONSTRUIRE L'AVENIR DE SAINT-BENOIT	89	10,14	23,99	7	LDVD	M	DALLEAU	Patrick	SAINT BENOIT DAN'COEUR	45	5,13	12,13	8	LDIV	M	AMOUNY	Daniel	Mouvement Citoyen Participatif Bénédictin	4	0,46	1,08	9	LDIV	M	PICARD	Florent, Paul	SAINT BENOIT AVANT TOUT	10	1,14	2,7	10	LDVC	F	PAYET-GANGNANT	Valérie	LE VRAI CHOIX GAGNANT POUR SAINT-BENOIT	33	3,76	8,89	11	LDVD	F	RAMIN	Sabrina	ENSEMBLE RECONSTRUISONS NOTRE VILLE AVEC PASSION	85	9,68	22,91																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ZD	La Réunion	410	Saint-Benoît	36	500	266	53,2	234	46,8	4	0,8	1,71	1	0,2	0,43	229	45,8	97,86	1	LDVD	M	ALLAMELE	Michel	SAINT-BENOIT AVEC MICHEL ALLAMELE	1	0,2	0,44	2	LDVG	M	SELLY	Patrice	ENSEMBLE POUR UNE VILLE NOUVELLE	27	5,4	11,79	3	LDVD	M	DERAND	Guy	AGIR POUR SAINT-BENOIT	2	0,4	0,87	4	LDVG	M	JULIE	Jean-Luc	TOUS GAGNANTS	23	4,6	10,04	5	LEXG	M	PAYET	Jean Yves	LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS	4	0,8	1,75	6	LUG	M	LE CONSTANT	Philippe	LA FORCE DE L'EXPERIENCE POUR CONSTRUIRE L'AVENIR DE SAINT-BENOIT	67	13,4	29,26	7	LDVD	M	DALLEAU	Patrick	SAINT BENOIT DAN'COEUR	47	9,4	20,52	8	LDIV	M	AMOUNY	Daniel	Mouvement Citoyen Participatif Bénédictin	2	0,4	0,87	9	LDIV	M	PICARD	Florent, Paul	SAINT BENOIT AVANT TOUT	9	1,8	3,93	10	LDVC	F	PAYET-GANGNANT	Valérie	LE VRAI CHOIX GAGNANT POUR SAINT-BENOIT	11	2,2	4,8	11	LDVD	F	RAMIN	Sabrina	ENSEMBLE RECONSTRUISONS NOTRE VILLE AVEC PASSION	36	7,2	15,72																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ZD	La Réunion	410	Saint-Benoît	37	725	349	48,14	376	51,86	15	2,07	3,99	10	1,38	2,66	351	48,41	93,35	1	LDVD	M	ALLAMELE	Michel	SAINT-BENOIT AVEC MICHEL ALLAMELE	0	0	0	2	LDVG	M	SELLY	Patrice	ENSEMBLE POUR UNE VILLE NOUVELLE	54	7,45	15,38	3	LDVD	M	DERAND	Guy	AGIR POUR SAINT-BENOIT	3	0,41	0,85	4	LDVG	M	JULIE	Jean-Luc	TOUS GAGNANTS	45	6,21	12,82	5	LEXG	M	PAYET	Jean Yves	LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS	2	0,28	0,57	6	LUG	M	LE CONSTANT	Philippe	LA FORCE DE L'EXPERIENCE POUR CONSTRUIRE L'AVENIR DE SAINT-BENOIT	58	8	16,52	7	LDVD	M	DALLEAU	Patrick	SAINT BENOIT DAN'COEUR	76	10,48	21,65	8	LDIV	M	AMOUNY	Daniel	Mouvement Citoyen Participatif Bénédictin	4	0,55	1,14	9	LDIV	M	PICARD	Florent, Paul	SAINT BENOIT AVANT TOUT	15	2,07	4,27	10	LDVC	F	PAYET-GANGNANT	Valérie	LE VRAI CHOIX GAGNANT POUR SAINT-BENOIT	20	2,76	5,7	11	LDVD	F	RAMIN	Sabrina	ENSEMBLE RECONSTRUISONS NOTRE VILLE AVEC PASSION	74	10,21	21,08																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ZD	La Réunion	410	Saint-Benoît	38	751	392	52,2	359	47,8	8	1,07	2,23	7	0,93	1,95	344	45,81	95,82	1	LDVD	M	ALLAMELE	Michel	SAINT-BENOIT AVEC MICHEL ALLAMELE	1	0,13	0,29	2	LDVG	M	SELLY	Patrice	ENSEMBLE POUR UNE VILLE NOUVELLE	66	8,79	19,19	3	LDVD	M	DERAND	Guy	AGIR POUR SAINT-BENOIT	1	0,13	0,29	4	LDVG	M	JULIE	Jean-Luc	TOUS GAGNANTS	31	4,13	9,01	5	LEXG	M	PAYET	Jean Yves	LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS	6	0,8	1,74	6	LUG	M	LE CONSTANT	Philippe	LA FORCE DE L'EXPERIENCE POUR CONSTRUIRE L'AVENIR DE SAINT-BENOIT	91	12,12	26,45	7	LDVD	M	DALLEAU	Patrick	SAINT BENOIT DAN'COEUR	53	7,06	15,41	8	LDIV	M	AMOUNY	Daniel	Mouvement Citoyen Participatif Bénédictin	1	0,13	0,29	9	LDIV	M	PICARD	Florent, Paul	SAINT BENOIT AVANT TOUT	5	0,67	1,45	10	LDVC	F	PAYET-GANGNANT	Valérie	LE VRAI CHOIX GAGNANT POUR SAINT-BENOIT	17	2,26	4,94	11	LDVD	F	RAMIN	Sabrina	ENSEMBLE RECONSTRUISONS NOTRE VILLE AVEC PASSION	72	9,59	20,93																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ZD	La Réunion	410	Saint-Benoît	39	729	405	55,56	324	44,44	10	1,37	3,09	12	1,65	3,7	302	41,43	93,21	1	LDVD	M	ALLAMELE	Michel	SAINT-BENOIT AVEC MICHEL ALLAMELE	1	0,14	0,33	2	LDVG	M	SELLY	Patrice	ENSEMBLE POUR UNE VILLE NOUVELLE	66	9,05	21,85	3	LDVD	M	DERAND	Guy	AGIR POUR SAINT-BENOIT	2	0,27	0,66	4	LDVG	M	JULIE	Jean-Luc	TOUS GAGNANTS	55	7,54	18,21	5	LEXG	M	PAYET	Jean Yves	LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS	2	0,27	0,66	6	LUG	M	LE CONSTANT	Philippe	LA FORCE DE L'EXPERIENCE POUR CONSTRUIRE L'AVENIR DE SAINT-BENOIT	52	7,13	17,22	7	LDVD	M	DALLEAU	Patrick	SAINT BENOIT DAN'COEUR	34	4,66	11,26	8	LDIV	M	AMOUNY	Daniel	Mouvement Citoyen Participatif Bénédictin	5	0,69	1,66	9	LDIV	M	PICARD	Florent, Paul	SAINT BENOIT AVANT TOUT	4	0,55	1,32	10	LDVC	F	PAYET-GANGNANT	Valérie	LE VRAI CHOIX GAGNANT POUR SAINT-BENOIT	15	2,06	4,97	11	LDVD	F	RAMIN	Sabrina	ENSEMBLE RECONSTRUISONS NOTRE VILLE AVEC PASSION	66	9,05	21,85																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ZD	La Réunion	410	Saint-Benoît	40	748	377	50,4	371	49,6	5	0,67	1,35	13	1,74	3,5	353	47,19	95,15	1	LDVD	M	ALLAMELE	Michel	SAINT-BENOIT AVEC MICHEL ALLAMELE	2	0,27	0,57	2	LDVG	M	SELLY	Patrice	ENSEMBLE POUR UNE VILLE NOUVELLE	59	7,89	16,71	3	LDVD	M	DERAND	Guy	AGIR POUR SAINT-BENOIT	2	0,27	0,57	4	LDVG	M	JULIE	Jean-Luc	TOUS GAGNANTS	38	5,08	10,76	5	LEXG	M	PAYET	Jean Yves	LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS	8	1,07	2,27	6	LUG	M	LE CONSTANT	Philippe	LA FORCE DE L'EXPERIENCE POUR CONSTRUIRE L'AVENIR DE SAINT-BENOIT	73	9,76	20,68	7	LDVD	M	DALLEAU	Patrick	SAINT BENOIT DAN'COEUR	71	9,49	20,11	8	LDIV	M	AMOUNY	Daniel	Mouvement Citoyen Participatif Bénédictin	6	0,8	1,7	9	LDIV	M	PICARD	Florent, Paul	SAINT BENOIT AVANT TOUT	1	0,13	0,28	10	LDVC	F	PAYET-GANGNANT	Valérie	LE VRAI CHOIX GAGNANT POUR SAINT-BENOIT	23	3,07	6,52	11	LDVD	F	RAMIN	Sabrina	ENSEMBLE RECONSTRUISONS NOTRE VILLE AVEC PASSION	70	9,36	19,83																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ZD	La Réunion	410	Saint-Benoît	41	822	403	49,03	419	50,97	2	0,24	0,48	5	0,61	1,19	412	50,12	98,33	1	LDVD	M	ALLAMELE	Michel	SAINT-BENOIT AVEC MICHEL ALLAMELE	3	0,36	0,73	2	LDVG	M	SELLY	Patrice	ENSEMBLE POUR UNE VILLE NOUVELLE	105	12,77	25,49	3	LDVD	M	DERAND	Guy	AGIR POUR SAINT-BENOIT	9	1,09	2,18	4	LDVG	M	JULIE	Jean-Luc	TOUS GAGNANTS	28	3,41	6,8	5	LEXG	M	PAYET	Jean Yves	LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS	7	0,85	1,7	6	LUG	M	LE CONSTANT	Philippe	LA FORCE DE L'EXPERIENCE POUR CONSTRUIRE L'AVENIR DE SAINT-BENOIT	79	9,61	19,17	7	LDVD	M	DALLEAU	Patrick	SAINT BENOIT DAN'COEUR	88	10,71	21,36	8	LDIV	M	AMOUNY	Daniel	Mouvement Citoyen Participatif Bénédictin	6	0,73	1,46	9	LDIV	M	PICARD	Florent, Paul	SAINT BENOIT AVANT TOUT	6	0,73	1,46	10	LDVC	F	PAYET-GANGNANT	Valérie	LE VRAI CHOIX GAGNANT POUR SAINT-BENOIT	10	1,22	2,43	11	LDVD	F	RAMIN	Sabrina	ENSEMBLE RECONSTRUISONS NOTRE VILLE AVEC PASSION	71	8,64	17,23																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
ZD	La Réunion	410	Saint-Benoît	42	271	149	54,98	122	45,02	3	1,11	2,46	6	2,21	4,92	113	41,7	92,62	1	LDVD	M	ALLAMELE	Michel	SAINT-BENOIT AVEC MICHEL ALLAMELE	0	0	0	2	LDVG	M	SELLY	Patrice	ENSEMBLE POUR UNE VILLE NOUVELLE	23	8,49	20,35	3	LDVD	M	DERAND	Guy	AGIR POUR SAINT-BENOIT	6	2,21	5,31	4	LDVG	M	JULIE	Jean-Luc	TOUS GAGNANTS	8	2,95	7,08	5	LEXG	M	PAYET	Jean Yves	LUTTE OUVRIERE - FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS	0	0	0	6	LUG	M	LE CONSTANT	Philippe	LA FORCE DE L'EXPERIENCE POUR CONSTRUIRE L'AVENIR DE SAINT-BENOIT	23	8,49	20,35	7	LDVD	M	DALLEAU	Patrick	SAINT BENOIT DAN'COEUR	6	2,21	5,31	8	LDIV	M	AMOUNY	Daniel	Mouvement Citoyen Participatif Bénédictin	1	0,37	0,88	9	LDIV	M	PICARD	Florent, Paul	SAINT BENOIT AVANT TOUT	3	1,11	2,65	10	LDVC	F	PAYET-GANGNANT	Valérie	LE VRAI CHOIX GAGNANT POUR SAINT-BENOIT	15	5,54	13,27	11	LDVD	F	RAMIN	Sabrina	ENSEMBLE RECONSTRUISONS NOTRE VILLE AVEC PASSION	28	10,33	24,78																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
